City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3421719,Narsaq,GL,60.9167,-46.05,37.4,65,90,12.66
3443061,Chui,UY,-33.6971,-53.4616,66.47,89,55,6.89
2035601,Mergen,CN,49.1833,125.2167,13.14,73,100,22.03
1282898,Pokhara,NP,28.2333,83.9833,63.37,32,23,5.5
3369157,Cape Town,ZA,-33.9258,18.4232,64.09,77,0,18.41
5122534,Jamestown,US,42.097,-79.2353,33.67,29,1,5.95
2015306,Tiksi,RU,71.6872,128.8694,-21.21,95,96,8.05
1507390,Dikson,RU,73.5069,80.5464,-28.17,99,80,6.87
5882953,Aklavik,CA,68.2191,-135.0107,-5.8,65,75,13.8
5866583,Saint Paul Harbor,US,57.79,-152.4072,35.6,48,75,9.22
2022572,Khatanga,RU,71.9667,102.5,-26.03,97,100,8.43
5847411,Kahului,US,20.8947,-156.47,74.64,69,40,8.05
5970478,Harbour Breton,CA,47.4833,-55.7983,24.93,65,96,4.76
3423146,Ilulissat,GL,69.2167,-51.1,30.2,55,98,20.71
2450173,Taoudenni,ML,22.6783,-3.9836,73.56,18,1,13.04
6201424,Mataura,NZ,-46.1927,168.8643,55.0,75,76,24.0
1855612,Nara,JP,34.6851,135.8049,47.86,87,75,5.75
2092164,Lorengau,PG,-2.0226,147.2712,85.33,62,100,6.89
1734705,Kuala Terengganu,MY,5.3302,103.1408,75.11,88,20,3.44
4032243,Vaini,TO,-21.2,-175.2,78.8,83,75,9.22
3833367,Ushuaia,AR,-54.8,-68.3,42.8,42,75,31.07
2012530,Zhigansk,RU,66.7697,123.3711,-7.22,97,100,15.95
3652764,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,75,16.11
5983720,Iqaluit,CA,63.7506,-68.5145,-20.2,63,20,12.66
5106841,Albany,US,42.6001,-73.9662,26.42,22,0,10.0
4030556,Rikitea,PF,-23.1203,-134.9692,81.27,71,2,6.69
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,26.6,86,69,4.61
6255012,Flinders,AU,-34.5833,150.8552,64.85,86,58,1.99
5855927,Hilo,US,19.7297,-155.09,76.15,54,40,4.61
6089245,Norman Wells,CA,65.282,-126.8329,1.4,71,75,4.61
4726521,San Patricio,US,28.017,-97.5169,73.47,83,90,9.22
3874787,Punta Arenas,CL,-53.15,-70.9167,41.0,65,20,26.46
964420,Port Elizabeth,ZA,-33.918,25.5701,60.8,88,0,4.61
415189,Aden,YE,12.7794,45.0367,77.85,70,46,20.76
3698359,Chicama,PE,-7.8447,-79.1469,73.4,88,40,8.05
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,75,13.8
1651591,Amahai,ID,-3.3333,128.9167,84.0,88,99,1.01
1855540,Naze,JP,28.3667,129.4833,71.6,64,75,12.66
2155415,New Norfolk,AU,-42.7826,147.0587,53.47,62,81,1.01
2112802,Hasaki,JP,35.7333,140.8333,50.7,71,75,8.05
2618795,Klaksvík,FO,62.2266,-6.589,41.0,93,90,14.97
3466165,Cidreira,BR,-30.1811,-50.2056,73.53,78,55,10.07
2068110,Kununurra,AU,-15.7667,128.7333,78.8,89,90,8.05
3412093,Vestmannaeyjar,IS,63.4427,-20.2734,44.51,73,99,22.3
2181625,Te Anau,NZ,-45.4167,167.7167,52.48,69,74,3.33
2110227,Butaritari,KI,3.0707,172.7902,81.91,76,56,14.97
5924351,Clyde River,CA,70.4692,-68.5914,-9.4,84,40,23.02
2071860,Esperance,AU,-33.8667,121.9,60.8,82,6,14.97
5975004,High Level,CA,58.5169,-117.136,21.2,58,20,10.36
1524801,Shīeli,KZ,44.1667,66.75,16.39,85,86,6.62
4020109,Atuona,PF,-9.8,-139.0333,80.04,69,18,10.13
3883457,Lebu,CL,-37.6167,-73.65,56.16,81,45,5.73
6185377,Yellowknife,CA,62.456,-114.3525,-1.07,71,1,10.36
3692029,Saposoa,PE,-6.934,-76.7716,77.0,94,75,4.61
1797595,Qinhuangdao,CN,39.9317,119.5883,37.58,32,0,3.29
2075265,Busselton,AU,-33.65,115.3333,62.87,49,48,5.01
3640226,Guanare,VE,9.0418,-69.7421,77.0,73,60,3.44
1497337,Kayerkan,RU,69.3497,87.7602,-33.43,96,30,1.23
2264923,Peniche,PT,39.3558,-9.3811,54.41,71,87,3.0
6121621,Revelstoke,CA,50.9832,-118.2023,46.4,49,1,14.97
1819729,Hong Kong,HK,22.2855,114.1577,69.17,87,99,9.48
1282256,Hithadhoo,MV,-0.6,73.0833,83.26,65,55,8.21
2738381,Lata,PT,40.1629,-8.3327,53.94,76,0,1.14
1696482,Pagudpud,PH,18.5616,120.7868,78.8,83,75,3.44
1067565,Beloha,MG,-25.1667,45.05,74.07,78,0,9.06
4031742,Egvekinot,RU,66.3167,-179.1667,-1.8,87,76,6.44
6137462,Saint-Augustin,CA,51.226,-58.6502,5.14,85,69,11.52
2729907,Longyearbyen,SJ,78.2186,15.6401,-4.0,71,40,2.3
5848280,Kapaa,US,22.0752,-159.319,75.87,78,20,14.97
3728474,Cap-Haïtien,HT,19.7578,-72.2042,75.33,71,30,11.68
2108502,Honiara,SB,-9.4333,159.95,84.65,65,52,3.24
64013,Bosaso,SO,11.2842,49.1816,76.46,73,36,5.66
1515029,Ulaangom,MN,49.9811,92.0667,-0.22,68,47,3.09
1272892,Dhār,IN,22.6,75.3,71.49,21,0,7.78
1630723,Poso,ID,-1.3959,120.7524,79.0,77,82,5.41
2070998,Geraldton,AU,-28.7667,114.6,78.8,24,40,16.11
2126682,Bilibino,RU,68.0546,166.4372,-10.43,83,45,3.06
2206939,Bluff,NZ,-46.6,168.3333,55.0,75,81,24.0
2194098,Ahipara,NZ,-35.1667,173.1667,69.24,72,100,0.63
3366880,Hermanus,ZA,-34.4187,19.2345,62.01,95,26,8.41
3393692,Itarema,BR,-2.9248,-39.9167,78.49,80,49,7.74
1267175,Khairābād,IN,27.5333,80.75,68.34,21,9,6.53
3459088,Laje,BR,-10.1833,-40.9667,77.94,48,89,4.79
933995,Souillac,MU,-20.5167,57.5167,77.0,88,40,3.44
2027806,Amazar,RU,53.858,120.875,-0.56,81,0,4.54
57000,Hobyo,SO,5.3505,48.5268,79.12,77,91,13.06
3382160,Cayenne,GF,4.9333,-52.3333,79.52,83,75,3.44
137268,Sūsangerd,IR,31.5608,48.1831,64.4,59,15,2.3
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,78.8,78,40,9.22
8010683,Porto Santo,PT,33.072,-16.3415,59.0,72,40,10.36
2139521,Noumea,NC,-22.2763,166.4572,83.46,58,0,4.61
3141667,Roald,NO,62.5833,6.1333,33.85,75,75,9.22
2264557,Ponta do Sol,PT,32.6667,-17.1,56.7,67,20,16.11
1787409,Yangmei,CN,24.1023,112.5618,63.93,91,90,2.24
935215,Saint-Philippe,RE,-21.3585,55.7679,74.82,73,0,6.91
5767918,Pierre,US,44.3683,-100.351,34.32,93,90,11.5
3985710,Cabo San Lucas,MX,22.8909,-109.9124,72.36,30,1,10.36
3831208,Qaanaaq,GL,77.484,-69.3632,-8.7,62,0,5.03
4791259,Virginia Beach,US,36.8529,-75.978,41.31,36,90,5.75
2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,59.41,59,90,14.97
2137773,Vao,NC,-22.6667,167.4833,76.57,80,46,13.38
4255151,Bud,US,39.447,-86.1758,34.0,93,99,14.27
556268,Ostrovnoy,RU,68.0531,39.5131,22.77,94,92,2.15
1006984,East London,ZA,-33.0153,27.9116,70.72,75,100,13.94
3902377,La Santisima Trinidad,BO,-14.8333,-64.9,75.2,94,75,1.77
2094342,Kavieng,PG,-2.5744,150.7967,84.18,66,32,4.85
546105,Nikolskoye,RU,59.7035,30.7861,33.24,93,90,11.18
4565090,Guánica,PR,17.9716,-66.908,76.96,59,77,3.0
3761194,Miraflores,MX,19.2167,-98.8083,77.0,27,75,11.5
4513583,Hamilton,US,39.1834,-84.5333,33.66,86,90,18.41
2377457,Nouadhibou,MR,20.931,-17.0347,66.2,77,0,16.11
3449195,São Fidélis,BR,-21.6461,-41.7469,73.63,94,52,2.19
6165406,Thompson,CA,55.7435,-97.8558,44.6,42,75,11.5
3921141,Charagua,BO,-19.8,-63.2167,78.8,69,75,3.04
3414079,Olafsvik,IS,64.8945,-23.7142,41.4,83,99,14.34
3424607,Tasiilaq,GL,65.6145,-37.6368,22.23,90,100,35.3
3377301,Mabaruma,GY,8.2,-59.7833,75.56,84,100,5.28
1490256,Talnakh,RU,69.4865,88.3972,-33.63,97,9,2.08
8079926,Labuhan,ID,-6.8844,112.2051,77.32,88,43,3.87
1244926,Hambantota,LK,6.1241,81.1185,76.51,81,81,12.44
1267979,Kānt,IN,27.8,79.8,67.15,20,0,5.95
1082243,Ambilobe,MG,-13.2,49.05,73.87,94,100,1.97
6355222,Yulara,AU,-25.2406,130.9889,66.2,26,0,10.36
3139597,Sistranda,NO,63.7256,8.834,37.4,70,75,13.8
2180815,Tuatapere,NZ,-46.1333,167.6833,55.0,75,78,24.0
2163355,Hobart,AU,-42.8794,147.3294,55.17,62,75,8.05
3421193,Paamiut,GL,61.994,-49.6678,23.05,94,100,22.46
3939168,Huarmey,PE,-10.0681,-78.1522,75.69,72,81,9.82
2057087,Kupang,ID,-10.1667,123.5833,77.0,100,40,2.3
5546220,Saint George,US,37.1041,-113.5841,64.18,24,20,12.66
87205,Darnah,LY,32.767,22.6367,56.37,65,5,17.76
3391889,Pitimbu,BR,-7.4706,-34.8086,78.8,83,20,9.22
2156643,Mount Gambier,AU,-37.8333,140.7667,59.0,77,90,10.36
101312,Turaif,SA,31.6725,38.6637,60.8,44,0,8.05
708320,Horodnya,UA,51.8909,31.5974,35.87,98,100,7.0
2126199,Cherskiy,RU,68.75,161.3,-5.55,79,85,9.6
5849996,Lahaina,US,20.8783,-156.6825,74.79,83,75,9.22
3899695,Ancud,CL,-41.8697,-73.8203,53.26,88,90,2.3
2122090,Pevek,RU,69.7008,170.3133,-7.94,87,73,8.61
3146487,Raudeberg,NO,61.9875,5.1352,34.0,91,78,13.67
1649150,Bengkulu,ID,-3.8004,102.2655,76.87,88,98,4.45
2219235,Ubari,LY,26.5921,12.7805,57.06,32,0,10.96
962367,Richards Bay,ZA,-28.783,32.0377,74.95,89,36,10.71
711134,Burshtyn,UA,49.2587,24.6278,36.14,96,100,11.45
5880054,Barrow,US,71.2906,-156.7887,-0.4,71,90,23.02
4987673,Calhoun,US,42.2506,-85.0005,32.79,32,90,10.36
3836277,Santa Fe,AR,-31.6333,-60.7,79.81,32,79,12.8
3571913,Marsh Harbour,BS,26.5412,-77.0636,72.97,61,0,12.17
3422683,Kangaatsiaq,GL,68.3065,-53.4641,8.64,94,100,17.72
3977811,Minas de Barroterán,MX,27.6333,-101.2833,82.92,14,0,10.4
3839307,Rawson,AR,-43.3002,-65.1023,70.2,53,75,10.69
863061,Usinsk,RU,65.9939,57.5281,24.3,95,99,13.0
1512019,Aksarka,RU,66.5606,67.7975,12.58,95,100,4.27
4031574,Provideniya,RU,64.3833,-173.3,14.0,79,0,2.24
3445026,Vila Velha,BR,-20.3297,-40.2925,78.03,78,20,8.05
2814853,Wald-Michelbach,DE,49.57,8.8317,38.28,79,53,1.99
964432,Port Alfred,ZA,-33.5906,26.891,66.0,93,92,1.99
3137469,Sørland,NO,67.667,12.6934,38.68,62,0,8.97
5955902,Fort Nelson,CA,58.8053,-122.7002,26.6,59,75,2.3
1509844,Boguchany,RU,58.3814,97.4531,10.29,96,98,5.55
986717,Kruisfontein,ZA,-34.0033,24.7314,64.0,94,100,7.29
3653015,Playas,EC,-2.6333,-80.3833,80.38,79,90,6.98
2017155,Saskylakh,RU,71.9167,114.0833,-24.59,96,96,3.47
3628473,San Cristobal,VE,7.7669,-72.225,77.0,83,40,2.3
4035715,Avarua,CK,-21.2078,-159.775,82.4,78,20,13.8
3430863,Mar del Plata,AR,-38.0023,-57.5575,71.91,73,0,6.91
2112309,Katsuura,JP,35.1333,140.3,58.59,51,40,26.46
4034551,Faanui,PF,-16.4833,-151.75,82.67,73,86,10.51
3372760,Praia da Vitória,PT,38.7333,-27.0667,59.0,94,75,4.9
1735634,Kuching,MY,1.55,110.3333,75.11,94,20,2.3
2074865,Carnarvon,AU,-24.8667,113.6333,78.8,83,32,8.05
3448903,São João da Barra,BR,-21.6403,-41.0511,77.25,85,82,13.53
6078372,Moose Factory,CA,51.2585,-80.6094,23.0,36,1,12.66
2253354,Dakar,SN,14.6937,-17.4441,68.0,83,7,13.8
3430443,Necochea,AR,-38.5473,-58.7368,77.14,43,94,11.5
1015776,Bredasdorp,ZA,-34.5322,20.0403,57.2,94,8,3.44
5044290,Saint Anthony,US,45.0205,-93.218,29.7,86,90,8.05
921786,Mitsamiouli,KM,-11.3847,43.2844,82.11,73,32,4.72
5364271,Laguna,US,38.421,-121.4238,54.27,47,40,9.22
1485904,Yermakovskoye,RU,53.2831,92.4003,14.65,84,100,6.35
2171099,Codrington,AU,-38.2667,141.9667,58.59,74,93,9.22
3646382,Carupano,VE,10.6678,-63.2585,76.41,90,59,8.81
3686255,Cimitarra,CO,6.3142,-73.9497,79.05,85,99,1.95
2121025,Srednekolymsk,RU,67.45,153.6833,-2.94,76,100,3.8
2062276,Roebourne,AU,-20.7833,117.1333,83.95,54,67,2.33
797213,Pervomayskoye,RU,43.919,46.7102,41.36,70,100,24.05
1174451,Keti Bandar,PK,24.1447,67.4497,74.57,80,0,15.19
3355672,Lüderitz,NA,-26.6481,15.1594,63.41,77,0,24.0
2214846,Misratah,LY,32.3754,15.0925,57.36,63,16,14.07
4993659,Garden City,US,42.3256,-83.331,31.73,29,90,14.97
6139289,Salaberry-de-Valleyfield,CA,45.2501,-74.1325,18.34,42,36,6.91
64814,Bandarbeyla,SO,9.4942,50.8122,78.13,80,78,12.03
7117100,Vila,PT,42.0304,-8.1588,51.01,74,17,1.01
934479,Grand Gaube,MU,-20.0064,57.6608,77.0,85,9,3.0
10722858,Forsytheganj,BY,52.6333,29.7333,34.05,94,100,8.32
2338669,Igbo-Ora,NG,7.4333,3.2833,79.66,72,36,7.65
2121385,Severo-Kuril'sk,RU,50.6789,156.125,36.41,98,100,24.92
2013921,Ust-Kuyga,RU,70.0167,135.6,-18.27,90,100,2.91
3372472,Vila Franca do Campo,PT,37.7167,-25.4333,60.8,94,40,6.91
4734350,Stephenville,US,32.2207,-98.2023,78.33,12,1,10.36
1529651,Altay,CN,47.8667,88.1167,15.57,85,65,1.74
107304,Buraidah,SA,26.326,43.975,73.4,38,40,5.75
2458334,Douentza,ML,14.9951,-2.9517,73.6,18,0,4.79
617076,Edineţ,MD,48.1681,27.305,36.0,91,100,5.99
2027109,Barguzin,RU,53.6167,109.6167,1.99,85,100,4.38
2090021,Namatanai,PG,-3.6667,152.4333,84.31,63,91,3.42
1650298,Bangkalan,ID,-7.0455,112.7351,78.8,94,20,4.61
3373652,Oistins,BB,13.0667,-59.5333,78.8,69,20,11.5
2409783,Bunumbu,SL,8.1667,-10.8667,76.06,85,62,2.46
5282297,Bethel,US,41.3712,-73.414,28.31,28,0,7.58
2338876,Ifo,NG,6.8144,3.1958,82.4,83,40,9.22
3511626,Bayaguana,DO,18.7564,-69.6362,78.87,73,40,9.22
3526756,Isla Mujeres,MX,21.2311,-86.731,80.15,69,40,13.8
1709108,Katubao,PH,5.8892,124.8294,81.57,79,14,1.5
1486321,Yar-Sale,RU,66.8333,70.8333,10.13,96,97,6.31
5972291,Havre-St-Pierre,CA,50.2334,-63.5986,5.0,43,1,17.27
3372707,Ribeira Grande,PT,38.5167,-28.7,60.67,89,0,12.33
286621,Salalah,OM,17.0151,54.0924,73.4,40,0,5.75
4036284,Alofi,NU,-19.0595,-169.9187,84.2,79,40,8.05
2961459,Skibbereen,IE,51.55,-9.2667,48.2,93,75,8.05
2067119,Mandurah,AU,-32.55,115.7,71.01,40,80,12.77
934322,Mahébourg,MU,-20.4081,57.7,77.0,88,40,3.44
1789647,Xichang,CN,27.8964,102.2634,51.67,75,11,1.1
532600,Lyubim,RU,58.3625,40.6843,30.58,93,96,7.9
2176639,Batemans Bay,AU,-35.7167,150.1833,63.32,73,1,1.99
3397315,João Câmara,BR,-5.5375,-35.8197,80.6,74,40,9.22
124291,Mehrān,IR,33.1222,46.1646,48.2,66,0,2.3
974670,Mondlo,ZA,-27.983,30.7177,56.75,87,17,3.4
4231997,Avera,US,33.194,-82.5271,66.7,63,90,13.8
5563839,Fortuna,US,40.5982,-124.1573,48.07,53,90,25.32
3466704,Castro,BR,-24.7911,-50.0119,64.76,88,60,0.74
1213855,Sibolga,ID,1.7427,98.7792,76.91,87,97,3.11
3728097,Les Cayes,HT,18.2,-73.75,76.19,79,46,1.86
2126123,Chokurdakh,RU,70.6333,147.9167,-4.61,97,100,8.55
3403687,Camocim,BR,-2.9022,-40.8411,77.61,86,90,8.81
1106677,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,40,3.44
682863,Cămărzana,RO,48.0,23.3167,40.35,93,90,2.3
1502750,Kommunisticheskiy,RU,61.6789,64.4819,13.98,93,63,5.73
5850554,Makakilo City,US,21.3469,-158.0858,77.94,65,1,17.27
1503527,Khovu-Aksy,RU,51.1333,93.6,6.04,83,100,1.23
3421765,Nanortalik,GL,60.1432,-45.2371,31.46,95,100,11.1
1487332,Verkhnyaya Inta,RU,65.9811,60.3094,23.04,90,99,13.78
5742974,North Bend,US,43.4065,-124.2243,47.95,61,1,17.27
2031964,Darhan,MN,49.4867,105.9228,17.37,83,100,0.58
3401188,Curuçá,BR,-0.7289,-47.8481,75.15,95,68,4.21
1735106,George Town,MY,5.4112,100.3354,79.39,89,40,3.44
3873441,Rengo,CL,-34.4167,-70.8667,62.6,77,75,8.05
2192362,Christchurch,NZ,-43.5333,172.6333,64.33,67,75,24.16
2123814,Leningradskiy,RU,69.3833,178.4167,-1.57,81,98,3.18
293842,Kiryat Gat,IL,31.61,34.7642,55.38,100,0,1.01
287286,Muscat,OM,23.6139,58.5922,75.2,88,0,2.3
1132495,Nahrin,AF,36.0649,69.1334,39.87,81,57,0.29
779554,Honningsvåg,NO,70.9821,25.9704,21.2,79,20,10.36
2643044,Margate,GB,51.3813,1.3862,41.07,79,82,8.5
1803886,Lianran,CN,24.9227,102.485,55.38,50,0,8.95
3397675,Jaguaribe,BR,-5.8906,-38.6219,80.94,59,58,4.68
1687894,Santa Rosa,PH,14.3122,121.1114,80.55,83,75,3.38
2126710,Beringovskiy,RU,63.05,179.3167,2.16,74,0,6.02
4190953,Dawson,US,31.7735,-84.4466,77.92,47,90,5.75
3393536,Olinda,BR,-8.0089,-34.8553,78.8,69,75,10.36
778707,Mehamn,NO,71.0357,27.8492,21.2,79,20,10.36
3647444,Calabozo,VE,8.9242,-67.4293,88.29,45,91,7.7
4031637,Lavrentiya,RU,65.5833,-171.0,17.74,92,86,3.65
6180550,Whitehorse,CA,60.7161,-135.0538,26.17,50,40,14.97
5367788,Lompoc,US,34.6391,-120.4579,49.37,58,75,20.71
